"","Loc","Type","z"
"SLX.19812.i714_i507.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","EmDisc",1
"SLX.19817.i707_i502.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19812.i712_i503.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","Amnoid_bead",1
"SLX.19817.i711_i508.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","Am",1
"SLX.19816.i701_i505.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19816.i701_i507.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19811.i711_i506.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","Conventional",1
"SLX.19815.i715_i502.HKJ5LBBXY.s_5.rAligned.sortedByCoord.out.bam","Invitro","newTSP3",1
"SLX.19817.i710_i506.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19817.i711_i511.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","Am",1
"SLX.19818.i705_i510.HKJ5LBBXY.s_8.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19815.i707_i507.HKJ5LBBXY.s_5.rAligned.sortedByCoord.out.bam","Invitro","OKAEP5esc",1
"SLX.19811.i702_i506.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","Conventional",1
"SLX.19817.i710_i507.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19811.i706_i507.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","Conventional",1
"SLX.19811.i712_i506.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","Conventional",1
"SLX.19816.i712_i508.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19816.i714_i506.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19811.i706_i505.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19811.i706_i502.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19818.i706_i503.HKJ5LBBXY.s_8.rAligned.sortedByCoord.out.bam","Invitro","Am",1
"SLX.19816.i712_i506.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19811.i707_i502.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19811.i701_i502.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19816.i701_i510.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19816.i701_i508.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19817.i702_i511.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","BMP_noMEF",1
"SLX.19816.i702_i503.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19815.i707_i506.HKJ5LBBXY.s_5.rAligned.sortedByCoord.out.bam","Invitro","OKAEP5esc",1
"SLX.19816.i715_i510.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","Am",1
"SLX.19816.i705_i508.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","BMP_noMEF",1
"SLX.19818.i705_i505.HKJ5LBBXY.s_8.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19817.i711_i503.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","Am",1
"SLX.19815.i706_i503.HKJ5LBBXY.s_5.rAligned.sortedByCoord.out.bam","Invitro","OKAEP5esc",1
"SLX.19812.i707_i505.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","Amnoid_bead",1
"SLX.19818.i705_i503.HKJ5LBBXY.s_8.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19812.i703_i503.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","Amnoid_bead",1
"SLX.19815.i706_i511.HKJ5LBBXY.s_5.rAligned.sortedByCoord.out.bam","Invitro","OKAEP5esc",1
"SLX.19818.i706_i502.HKJ5LBBXY.s_8.rAligned.sortedByCoord.out.bam","Invitro","Am",1
"SLX.19815.i711_i503.HKJ5LBBXY.s_5.rAligned.sortedByCoord.out.bam","Invitro","newTSP3",1
"SLX.19811.i707_i507.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","Conventional",1
"SLX.19812.i701_i503.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","Amnoid_bead",1
"SLX.19816.i701_i502.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19816.i705_i503.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","BMP_noMEF",1
"SLX.19817.i707_i506.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19816.i703_i506.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","Am",1
"SLX.19812.i715_i507.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","EmDisc",1
"SLX.19817.i707_i507.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19811.i715_i502.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19811.i706_i503.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19817.i711_i507.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","Am",1
"SLX.19812.i705_i503.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","Amnoid_bead",1
"SLX.19811.i712_i502.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19812.i701_i505.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","Amnoid_bead",1
"SLX.19816.i701_i503.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19817.i707_i503.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19818.i704_i511.HKJ5LBBXY.s_8.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19812.i705_i507.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","EmDisc",1
"SLX.19812.i701_i508.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","EmDisc",1
"SLX.19816.i701_i506.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19811.i714_i503.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19817.i714_i506.HKJ5LBBXY.s_7.rAligned.sortedByCoord.out.bam","Invitro","BMP_noMEF",1
"SLX.19815.i707_i502.HKJ5LBBXY.s_5.rAligned.sortedByCoord.out.bam","Invitro","OKAEP5esc",1
"SLX.19812.i706_i503.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","Amnoid_bead",1
"SLX.19811.i714_i502.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19816.i714_i507.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19812.i707_i503.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","Amnoid_bead",1
"SLX.19815.i714_i503.HKJ5LBBXY.s_5.rAligned.sortedByCoord.out.bam","Invitro","newTSP3",1
"SLX.19816.i712_i507.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","EmD",1
"SLX.19811.i715_i503.HKJ5LBBXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","PLAXA",1
"SLX.19816.i714_i505.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19812.i714_i503.HKJ5LBBXY.s_2.rAligned.sortedByCoord.out.bam","Invitro","Amnoid_bead",1
"SLX.19816.i714_i503.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19816.i714_i502.HKJ5LBBXY.s_6.rAligned.sortedByCoord.out.bam","Invitro","ActA_MEF",1
"SLX.19820.i714_i503.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i712_i505.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i714_i511.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i715_i506.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i714_i507.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i711_i510.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i714_i506.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i712_i503.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i715_i502.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i712_i510.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i711_i508.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i715_i508.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i711_i505.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i712_i508.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i715_i511.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i715_i505.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i710_i511.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSbub",1
"SLX.19820.i714_i508.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i715_i503.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i712_i511.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i714_i502.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i714_i510.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i712_i507.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i711_i506.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i711_i502.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i701_i505.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i711_i511.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i711_i507.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSiwp2",1
"SLX.19820.i701_i506.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i702_i508.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i702_i506.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i702_i505.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i701_i510.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i701_i511.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i705_i506.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVSbub",1
"SLX.19820.i704_i511.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i704_i508.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i703_i511.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i704_i505.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i704_i507.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i704_i503.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i703_i510.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i703_i508.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i703_i507.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i702_i511.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i703_i505.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i703_i503.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
"SLX.19820.i703_i502.HKV2JDRXY.s_1.rAligned.sortedByCoord.out.bam","Invitro","cmTSCPAVS",1
